ja_prompt,zh_prompt,en_prompt,fr_prompt,ja_prompt_masked,zh_prompt_masked,en_prompt_masked,fr_prompt_masked,ja,zh,en,fr,ja1,zh1,en1,fr1,ar
"""周囲""は、周りの環境や状況です。答え: ""周囲""","""周围""是周围的环境或情况。答案: ""周围""","""Surrounding"" is the environment or situation around. Answer: ""surrounding""","""Entourage"" est l'environnement ou la situation autour. Réponse: ""entourage""","""__""は、周りの環境や状況です。答え: ""周囲""","""__""是周围的环境或情况。答案: ""周围""","""__"" is the environment or situation around. Answer: ""surrounding""","""__"" est l'environnement ou la situation autour. Réponse: ""entourage""",周囲,周围,surrounding,entourage,環境,周边,surround,contexte,محيط
"""基礎""は、物事の土台です。答え: ""基礎""","""基础""是事物的根基。答案: ""基础""","""Basis"" is the foundation of something. Answer: ""basis""","""Base"" est la fondation de quelque chose. Réponse: ""base""","""__""は、物事の土台です。答え: ""基礎""","""__""是事物的根基。答案: ""基础""","""__"" is the foundation of something. Answer: ""basis""","""__"" est la fondation de quelque chose. Réponse: ""base""",基礎,基础,basis,base,基盤,基本,base,fondation,أساس
"""目標""は、達成したい目当てです。答え: ""目標""","""目标""是想要实现的目的。答案: ""目标""","""Goal"" is an aim one wants to achieve. Answer: ""goal""","""Objectif"" est un but que l'on souhaite atteindre. Réponse: ""objectif""","""__""は、達成したい目当てです。答え: ""目標""","""__""是想要实现的目的。答案: ""目标""","""__"" is an aim one wants to achieve. Answer: ""goal""","""__"" est un but que l'on souhaite atteindre. Réponse: ""objectif""",目標,目标,goal,objectif,ゴール,梦想,purpose,but,هدف
"""規模""は、物事の大きさや範囲です。答え: ""規模""","""规模""是事物的大小或范围。答案: ""规模""","""Scale"" is the size or extent of something. Answer: ""scale""","""échelle"" est la taille ou l'étendue de quelque chose. Réponse: ""échelle""","""__""は、物事の大きさや範囲です。答え: ""規模""","""__""是事物的大小或范围。答案: ""规模""","""__"" is the size or extent of something. Answer: ""scale""","""__"" est la taille ou l'étendue de quelque chose. Réponse: ""échelle""",規模,规模,scale,échelle,スケール,大小,magnitude,taille,مقياس
"""攻撃""は、他者を攻める行動です。答え: ""攻撃""","""攻击""是对他人的进攻行为。答案: ""攻击""","""Attack"" is the act of striking at others. Answer: ""attack""","""Attaque"" est l'acte de frapper les autres. Réponse: ""attaque""","""__""は、他者を攻める行動です。答え: ""攻撃""","""__""是对他人的进攻行为。答案: ""攻击""","""__"" is the act of striking at others. Answer: ""attack""","""__"" est l'acte de frapper les autres. Réponse: ""attaque""",攻撃,攻击,attack,attaque,いじめ,批评,assault,coup,هجوم
"""誕生""は、新しい生命の始まりです。答え: ""誕生""","""诞生""是新生命的开始。答案: ""诞生""","""Birth"" is the beginning of a new life. Answer: ""birth""","""Naissance"" est le début d'une nouvelle vie. Réponse: ""naissance""","""__""は、新しい生命の始まりです。答え: ""誕生""","""__""是新生命的开始。答案: ""诞生""","""__"" is the beginning of a new life. Answer: ""birth""","""__"" est le début d'une nouvelle vie. Réponse: ""naissance""",誕生,诞生,birth,naissance,出産,出生,pregnancy,nouvelle,ولادة
"""団体""は、共通の目的を持つ集団です。答え: ""団体""","""团体""是有共同目的的集体。答案: ""团体""","""Group"" is a collection of individuals with a common purpose. Answer: ""group""","""Groupe"" est une collection d'individus avec un but commun. Réponse: ""groupe""","""__""は、共通の目的を持つ集団です。答え: ""団体""","""__""是有共同目的的集体。答案: ""团体""","""__"" is a collection of individuals with a common purpose. Answer: ""group""","""__"" est une collection d'individus avec un but commun. Réponse: ""groupe""",団体,团体,group,groupe,グループ,组织,organization,société,مجموعة
"""維持""は、状態を保ち続けることです。答え: ""維持""","""维持""是保持某种状态。答案: ""维持""","""Maintenance"" is the act of keeping something in a specific state. Answer: ""maintenance""","""Entretien"" est l'acte de maintenir quelque chose dans un état spécifique. Réponse: ""entretien""","""__""は、状態を保ち続けることです。答え: ""維持""","""__""是保持某种状态。答案: ""维持""","""__"" is the act of keeping something in a specific state. Answer: ""maintenance""","""__"" est l'acte de maintenir quelque chose dans un état spécifique. Réponse: ""entretien""",維持,维持,maintenance,entretien,持続,保持,maintain,maintenir,صيانة
"""負担""は、重荷や責任です。答え: ""負担""","""负担""是负荷或责任。答案: ""负担""","""Burden"" is a load or responsibility. Answer: ""burden""","""Charge"" est une charge ou une responsabilité. Réponse: ""charge""","""__""は、重荷や責任です。答え: ""負担""","""__""是负荷或责任。答案: ""负担""","""__"" is a load or responsibility. Answer: ""burden""","""__"" est une charge ou une responsabilité. Réponse: ""charge""",負担,负担,burden,charge,重荷,责任,duty,tâche,عبء
"""全員""は、すべてのメンバーです。答え: ""全員""","""全员""是所有的成员。答案: ""全员""","""All members"" refers to every individual in a group. Answer: ""all members""","""Tous les membres"" désigne chaque individu dans un groupe. Réponse: ""tous les membres""","""__""は、すべてのメンバーです。答え: ""全員""","""__""是所有的成员。答案: ""全员""","""__"" refers to every individual in a group. Answer: ""all members""","""__"" désigne chaque individu dans un groupe. Réponse: ""tous les membres""",全員,全员,all members,membres,総員,全部,individual,individu,كل الأعضاء
"""変更""は、物事を変えることです。答え: ""変更""","""变更""是改变事物。答案: ""变更""","""Change"" is the act of making something different. Answer: ""change""","""Changement"" est l'acte de rendre quelque chose différent. Réponse: ""changement""","""__""は、物事を変えることです。答え: ""変更""","""__""是改变事物。答案: ""变更""","""__"" is the act of making something different. Answer: ""change""","""__"" est l'acte de rendre quelque chose différent. Réponse: ""changement""",変更,变更,change,changement,変革,改变,alter,modification,تغيير
"""移動""は、場所を変えることです。答え: ""移動""","""移动""是改变位置。答案: ""移动""","""Movement"" is the act of changing location. Answer: ""movement""","""Mouvement"" est l'acte de changer de lieu. Réponse: ""mouvement""","""__""は、場所を変えることです。答え: ""移動""","""__""是改变位置。答案: ""移动""","""__"" is the act of changing location. Answer: ""movement""","""__"" est l'acte de changer de lieu. Réponse: ""mouvement""",移動,移动,movement,mouvement,移転,转移,moving,migration,حركة
"""人気""は、多くの人々に支持されることです。答え: ""人気""","""人气""是受到许多人欢迎。答案: ""人气""","""Popularity"" is being favored by many people. Answer: ""popularity""","""Popularité"" est être favorisé par beaucoup de gens. Réponse: ""popularité""","""__""は、多くの人々に支持されることです。答え: ""人気""","""__""是受到许多人欢迎。答案: ""人气""","""__"" is being favored by many people. Answer: ""popularity""","""__"" est être favorisé par beaucoup de gens. Réponse: ""popularité""",人気,人气,popularity,popularité,評判,欢迎,popular,préfér,شعبية
"""現象""は、観察される出来事や事象です。答え: ""現象""","""现象""是可以被观察到的事件或现象。答案: ""现象""","""Phenomenon"" is an observable event or occurrence. Answer: ""phenomenon""","""Phénomène"" est un événement ou une occurrence observable. Réponse: ""phénomène""","""__""は、観察される出来事や事象です。答え: ""現象""","""__""是可以被观察到的事件或现象。答案: ""现象""","""__"" is an observable event or occurrence. Answer: ""phenomenon""","""__"" est un événement ou une occurrence observable. Réponse: ""phénomène""",現象,现象,phenomenon,phénomène,事象,事实,incident,événement,ظاهرة
"""証明""は、何かが真実であることを示すことです。答え: ""証明""","""证明""是表明某事为真的行为。答案: ""证明""","""Proof"" is the act of demonstrating something as true. Answer: ""proof""","""Preuve"" est l'acte de démontrer quelque chose comme vrai. Réponse: ""preuve""","""__""は、何かが真実であることを示すことです。答え: ""証明""","""__""是表明某事为真的行为。答案: ""证明""","""__"" is the act of demonstrating something as true. Answer: ""proof""","""__"" est l'acte de démontrer quelque chose comme vrai. Réponse: ""preuve""",証明,证明,proof,preuve,保証,确认,show,prouvé,دليل
"""過程""は、一連の出来事の流れです。答え: ""過程""","""过程""是一系列事件的发展。答案: ""过程""","""Process"" is a series of events or steps. Answer: ""process""","""Processus"" est une série d'événements ou d'étapes. Réponse: ""processus""","""__""は、一連の出来事の流れです。答え: ""過程""","""__""是一系列事件的发展。答案: ""过程""","""__"" is a series of events or steps. Answer: ""process""","""__"" est une série d'événements ou d'étapes. Réponse: ""processus""",過程,过程,process,processus,プロセス,发展,sequence,suite,عملية
"""空間""は、物理的な広がりです。答え: ""空間""","""空间""是物理上的广阔区域。答案: ""空间""","""Space"" is a physical expanse. Answer: ""space""","""Espace"" est une étendue physique. Réponse: ""espace""","""__""は、物理的な広がりです。答え: ""空間""","""__""是物理上的广阔区域。答案: ""空间""","""__"" is a physical expanse. Answer: ""space""","""__"" est une étendue physique. Réponse: ""espace""",空間,空间,space,espace,拡張,区域,area,territoire,مساحة
"""対策""は、問題を解決するための措置です。答え: ""対策""","""对策""是为了解决问题的措施。答案: ""对策""","""Measure"" is an action taken to solve a problem. Answer: ""measure""","""Mesure"" est une action prise pour résoudre un problème. Réponse: ""mesure""","""__""は、問題を解決するための措置です。答え: ""対策""","""__""是为了解决问题的措施。答案: ""对策""","""__"" is an action taken to solve a problem. Answer: ""measure""","""__"" est une action prise pour résoudre un problème. Réponse: ""mesure""",対策,对策,measure,mesure,解決策,方案,solution,intervention,قياس
"""権利""は、法的に認められた利益です。答え: ""権利""","""权利""是法律认可的利益。答案: ""权利""","""Right"" is a legally recognized benefit. Answer: ""right""","""Droit"" est un avantage légalement reconnu. Réponse: ""droit""","""__""は、法的に認められた利益です。答え: ""権利""","""__""是法律认可的利益。答案: ""权利""","""__"" is a legally recognized benefit. Answer: ""right""","""__"" est un avantage légalement reconnu. Réponse: ""droit""",権利,权利,right,droit,財産,权益,privilege,avantage,حق
"""市場""は、商品が取引される場所です。答え: ""市場""","""市场""是进行商品交易的地方。答案: ""市场""","""Market"" is a place where goods are traded. Answer: ""market""","""Marché"" est un endroit où les biens sont échangés. Réponse: ""marché""","""__""は、商品が取引される場所です。答え: ""市場""","""__""是进行商品交易的地方。答案: ""市场""","""__"" is a place where goods are traded. Answer: ""market""","""__"" est un endroit où les biens sont échangés. Réponse: ""marché""",市場,市场,market,marché,マーケット,商场,marketplace,magasin,سوق
"""価格""は、物の価値の金額です。答え: ""価格""","""价格""是物品的价值金额。答案: ""价格""","""Price"" is the amount of money for which something is valued. Answer: ""price""","""Prix"" est le montant d'argent pour lequel quelque chose est évalué. Réponse: ""prix""","""__""は、物の価値の金額です。答え: ""価格""","""__""是物品的价值金额。答案: ""价格""","""__"" is the amount of money for which something is valued. Answer: ""price""","""__"" est le montant d'argent pour lequel quelque chose est évalué. Réponse: ""prix""",価格,价格,price,prix,値段,价值,value,valeur,سعر
"""困難""は、物事を達成するのが難しいことです。答え: ""困難""","""困难""是指实现事物的难度。答案: ""困难""","""Difficulty"" is the state of being hard to achieve something. Answer: ""difficulty""","""Difficulté"" est l'état d'être difficile à atteindre quelque chose. Réponse: ""difficulté""","""__""は、物事を達成するのが難しいことです。答え: ""困難""","""__""是指实现事物的难度。答案: ""困难""","""__"" is the state of being hard to achieve something. Answer: ""difficulty""","""__"" est l'état d'être difficile à atteindre quelque chose. Réponse: ""difficulté""",困難,困难,difficulty,difficulté,難しい,难度,hard,barrière,صعوبة
"""義務""は、やらなければならない責任です。答え: ""義務""","""义务""是必须履行的责任。答案: ""义务""","""Duty"" is a responsibility that must be fulfilled. Answer: ""duty""","""Devoir"" est une responsabilité qui doit être remplie. Réponse: ""devoir""","""__""は、やらなければならない責任です。答え: ""義務""","""__""是必须履行的责任。答案: ""义务""","""__"" is a responsibility that must be fulfilled. Answer: ""duty""","""__"" est une responsabilité qui doit être remplie. Réponse: ""devoir""",義務,义务,duty,devoir,責任,责任,obligation,responsabilité,واجب
"""無視""は、何かを意図的に見過ごすことです。答え: ""無視""","""无视""是故意忽略某事。答案: ""无视""","""Ignore"" is the act of deliberately overlooking something. Answer: ""ignore""","""Ignorer"" est l'acte d'ignorer délibérément quelque chose. Réponse: ""ignorer""","""__""は、何かを意図的に見過ごすことです。答え: ""無視""","""__""是故意忽略某事。答案: ""无视""","""__"" is the act of deliberately overlooking something. Answer: ""ignore""","""__"" est l'acte d'ignorer délibérément quelque chose. Réponse: ""ignorer""",無視,无视,ignore,ignorer,見落とし,忽略,omission,négligence,تجاهل
"""実行""は、計画を実際に行うことです。答え: ""実行""","""实行""是将计划付诸实践。答案: ""实行""","""Execution"" is the act of carrying out a plan. Answer: ""execution""","""Exécution"" est l'acte de réaliser un plan. Réponse: ""exécution""","""__""は、計画を実際に行うことです。答え: ""実行""","""__""是将计划付诸实践。答案: ""实行""","""__"" is the act of carrying out a plan. Answer: ""execution""","""__"" est l'acte de réaliser un plan. Réponse: ""exécution""",実行,实行,execution,exécution,実施,实施,conduct,action,تنفيذ
"""信頼""は、他人を信用することです。答え: ""信頼""","""信赖""是信任他人。答案: ""信赖""","""Trust"" is the act of placing confidence in others. Answer: ""trust""","""Confiance"" est l'acte de placer sa confiance en autrui. Réponse: ""confiance""","""__""は、他人を信用することです。答え: ""信頼""","""__""是信任他人。答案: ""信赖""","""__"" is the act of placing confidence in others. Answer: ""trust""","""__"" est l'acte de placer sa confiance en autrui. Réponse: ""confiance""",信頼,信赖,trust,confiance,信じる,信任,faith,fidélité,ثقة
"""積極""は、前向きで活動的なことです。答え: ""積極""","""积极""是指积极主动。答案: ""积极""","""Positive"" is being proactive and enthusiastic. Answer: ""positive""","""Positif"" est être proactif et enthousiaste. Réponse: ""positif""","""__""は、前向きで活動的なことです。答え: ""積極""","""__""是指积极主动。答案: ""积极""","""__"" is being proactive and enthusiastic. Answer: ""positive""","""__"" est être proactif et enthousiaste. Réponse: ""positif""",積極,积极,positive,positif,活発,主动,initiative,enthousias,إيجابي
"""飛行""は、空を飛ぶことです。答え: ""飛行""","""飞行""是指在空中飞行。答案: ""飞行""","""Flight"" is the act of flying in the air. Answer: ""flight""","""Vol"" est l'acte de voler dans les airs. Réponse: ""vol""","""__""は、空を飛ぶことです。答え: ""飛行""","""__""是指在空中飞行。答案: ""飞行""","""__"" is the act of flying in the air. Answer: ""flight""","""__"" est l'acte de voler dans les airs. Réponse: ""vol""",飛行,飞行,flight,vol,飛ぶ,飞,soaring,voler,رحلة
"""医療""は、健康を管理するためのケアです。答え: ""医療""","""医疗""是健康管理的护理。答案: ""医疗""","""Medical care"" is care for managing health. Answer: ""medical care""","""Soins médicaux"" sont des soins pour gérer la santé. Réponse: ""soins médicaux""","""__""は、健康を管理するためのケアです。答え: ""医療""","""__""是健康管理的护理。答案: ""医疗""","""__"" is care for managing health. Answer: ""medical care""","""__"" sont des soins pour gérer la santé. Réponse: ""soins médicaux""",医療,医疗,medical care,soins,健康管理,保健,healthcare,traitement,رعاية طبية
"""課題""は、解決すべき問題です。答え: ""課題""","""课题""是需要解决的问题。答案: ""课题""","""Issue"" is a problem that needs to be resolved. Answer: ""issue""","""Problème"" est un problème qui doit être résolu. Réponse: ""problème""","""__""は、解決すべき問題です。答え: ""課題""","""__""是需要解决的问题。答案: ""课题""","""__"" is a problem that needs to be resolved. Answer: ""issue""","""__"" est un problème qui doit être résolu. Réponse: ""problème""",課題,课题,issue,problème,問題,问题,trouble,difficile,قضية
"""原則""は、基本的なルールや信念です。答え: ""原則""","""原则""是基本的规则和信念。答案: ""原则""","""Principle"" is a fundamental rule or belief. Answer: ""principle""","""Principe"" est une règle ou croyance fondamentale. Réponse: ""principe""","""__""は、基本的なルールや信念です。答え: ""原則""","""__""是基本的规则和信念。答案: ""原则""","""__"" is a fundamental rule or belief. Answer: ""principle""","""__"" est une règle ou croyance fondamentale. Réponse: ""principe""",原則,原则,principle,principe,ポリシー,规则,law,croyance,مبدأ
"""話題""は、話のテーマです。答え: ""話題""","""话题""是谈话的主题。答案: ""话题""","""Topic"" is the subject of discussion. Answer: ""topic""","""Sujet"" est le sujet de la discussion. Réponse: ""sujet""","""__""は、話のテーマです。答え: ""話題""","""__""是谈话的主题。答案: ""话题""","""__"" is the subject of discussion. Answer: ""topic""","""__"" est le sujet de la discussion. Réponse: ""sujet""",話題,话题,topic,sujet,主題,主题,theme,thème,موضوع
"""予想""は、将来のことを見込むことです。答え: ""予想""","""预想""是对未来的预估。答案: ""预想""","""Expectation"" is the anticipation of future events. Answer: ""expectation""","""Attente"" est l'anticipation des événements futurs. Réponse: ""attente""","""__""は、将来のことを見込むことです。答え: ""予想""","""__""是对未来的预估。答案: ""预想""","""__"" is the anticipation of future events. Answer: ""expectation""","""__"" est l'anticipation des événements futurs. Réponse: ""attente""",予想,预想,expectation,attente,見通し,预测,expect,prévision,توقع
"""教師""は、教育する人です。答え: ""教師""","""教师""是教授知识的人。答案: ""教师""","""Teacher"" is a person who educates others. Answer: ""teacher""","""Enseignant"" est une personne qui éduque les autres. Réponse: ""enseignant""","""__""は、教育する人です。答え: ""教師""","""__""是教授知识的人。答案: ""教师""","""__"" is a person who educates others. Answer: ""teacher""","""__"" est une personne qui éduque les autres. Réponse: ""enseignant""",教師,教师,teacher,enseignant,先生,教授,educator,professeur,معلم
"""増加""は、数量が増えることです。答え: ""増加""","""增加""是数量的增加。答案: ""增加""","""Increase"" is the act of becoming greater in number. Answer: ""increase""","""Augmentation"" est le fait de devenir plus grand en nombre. Réponse: ""augmentation""","""__""は、数量が増えることです。答え: ""増加""","""__""是数量的增加。答案: ""增加""","""__"" is the act of becoming greater in number. Answer: ""increase""","""__"" est le fait de devenir plus grand en nombre. Réponse: ""augmentation""",増加,增加,increase,augmenter,増大,增长,grow,croître,زيادة
"""費用""は、何かにかかるお金です。答え: ""費用""","""费用""是花费在某事上的钱。答案: ""费用""","""Cost"" is the money required for something. Answer: ""cost""","""coût"" est l'argent requis pour quelque chose. Réponse: ""coût""","""__""は、何かにかかるお金です。答え: ""費用""","""__""是花费在某事上的钱。答案: ""费用""","""__"" is the money required for something. Answer: ""cost""","""__"" est l'argent requis pour quelque chose. Réponse: ""coût""",費用,费用,cost,coût,コスト,花费,expense,prix,تكلفة
"""治療""は、病気や怪我を治すことです。答え: ""治療""","""治疗""是治愈疾病或受伤。答案: ""治疗""","""Treatment"" is the act of curing illness or injury. Answer: ""treatment""","""Traitement"" est l'acte de guérir une maladie ou une blessure. Réponse: ""traitement""","""__""は、病気や怪我を治すことです。答え: ""治療""","""__""是治愈疾病或受伤。答案: ""治疗""","""__"" is the act of curing illness or injury. Answer: ""treatment""","""__"" est l'acte de guérir une maladie ou une blessure. Réponse: ""traitement""",治療,治疗,treatment,traitement,治癒,治愈,healing,guérir,علاج
"""金額""は、お金の総量です。答え: ""金額""","""金额""是钱的总数。答案: ""金额""","""Amount"" is the total sum of money. Answer: ""amount""","""Montant"" est la somme totale d'argent. Réponse: ""montant""","""__""は、お金の総量です。答え: ""金額""","""__""是钱的总数。答案: ""金额""","""__"" is the total sum of money. Answer: ""amount""","""__"" est la somme totale d'argent. Réponse: ""montant""",金額,金额,amount,montant,総量,总额,total,somme,مبلغ
"""明確""は、はっきりしていることです。答え: ""明確""","""明确""是指清晰明确。答案: ""明确""","""Clear"" is being easy to understand. Answer: ""clear""","""Clair"" est être facile à comprendre. Réponse: ""clair""","""__""は、はっきりしていることです。答え: ""明確""","""__""是指清晰明确。答案: ""明确""","""__"" is being easy to understand. Answer: ""clear""","""__"" est être facile à comprendre. Réponse: ""clair""",明確,明确,clear,clair,明瞭,清晰,simplicity,compréhensible,واضح
"""有効""は、目的に適っていることです。答え: ""有効""","""有效""是指符合目的。答案: ""有效""","""Effective"" is being successful in producing a desired result. Answer: ""effective""","""Efficace"" est réussir à produire un résultat souhaité. Réponse: ""efficace""","""__""は、目的に適っていることです。答え: ""有効""","""__""是指符合目的。答案: ""有效""","""__"" is being successful in producing a desired result. Answer: ""effective""","""__"" est réussir à produire un résultat souhaité. Réponse: ""efficace""",有効,有效,effective,effet,適切,符合,effectively,réussite,فعال
"""証拠""は、事実を示すものです。答え: ""証拠""","""证据""是显示事实的事物。答案: ""证据""","""Evidence"" is something that shows a fact. Answer: ""evidence""","""Preuve"" est quelque chose qui montre un fait. Réponse: ""preuve""","""__""は、事実を示すものです。答え: ""証拠""","""__""是显示事实的事物。答案: ""证据""","""__"" is something that shows a fact. Answer: ""evidence""","""__"" est quelque chose qui montre un fait. Réponse: ""preuve""",証拠,证据,evidence,preuve,証言,证物,indication,indication,دليل
"""整備""は、機器を正常に保つための行為です。答え: ""整備""","""整备""是为保持设备正常运作而做的行为。答案: ""整备""","""Maintenance"" is keeping equipment in good condition. Answer: ""maintenance""","""Entretien"" est maintenir l'équipement en bon état. Réponse: ""entretien""","""__""は、機器を正常に保つための行為です。答え: ""整備""","""__""是为保持设备正常运作而做的行为。答案: ""整备""","""__"" is keeping equipment in good condition. Answer: ""maintenance""","""__"" est maintenir l'équipement en bon état. Réponse: ""entretien""",整備,整备,maintenance,entretien,メンテナンス,保养,upkeep,maintenance,صيانة
